Wall time,Step,Value
1633864890.9239318,8900,245.0
1633865617.3387065,9000,246.0
1633874908.0517561,8900,245.0
1633875610.3672216,9000,246.0
1633876318.2689834,9100,248.0
1633877044.3306496,9200,250.0
1633877748.0936468,9300,252.0
1633878451.8572204,9400,254.0
1633879178.2059245,9500,256.0
1633879881.7630131,9600,258.0
1633880585.023795,9700,259.0
1633881309.9501545,9800,261.0
1633883219.881475,10000,265.0
1633883932.420592,10100,267.0
1633884639.5657337,10200,269.0
1633887118.723445,10300,271.0
1633887826.4308507,10400,272.0
1633947539.8369803,10600,276.0
1633948262.4354029,10700,278.0
1633949008.2699943,10800,280.0
1633949732.4119563,10900,282.0
1633950456.9589832,11000,284.0
1633951209.0419574,11100,285.0
1633951934.4922578,11200,287.0
1633952659.6806436,11300,289.0
1633953410.003136,11400,291.0
1634023353.2743404,11400,291.0
1634024073.3020015,11500,293.0
1634024815.7738152,11600,295.0
1634025540.1006505,11700,296.0
1634026267.6354456,11800,298.0
1634027026.2924113,11900,300.0
1634027754.1119018,12000,302.0
1634028485.8798711,12100,304.0
1634029232.9118404,12200,306.0
1634029959.8428836,12300,308.0
1634030698.7034855,12400,309.0
1634031458.479513,12500,311.0
1634032197.9288766,12600,313.0
1634032958.6078637,12700,315.0
1634033821.180125,12700,315.0
1634034557.0377223,12800,317.0
1634035293.5571454,12900,319.0
1634194217.0321224,13000,321.0
1634194912.055534,13100,322.0
1634195602.1251771,13200,324.0
1634196320.4768608,13300,326.0
1634197010.9693763,13400,328.0
1634197729.1617217,13500,330.0
1634198421.3563685,13600,332.0
1634199114.3046458,13700,334.0
1634199831.579611,13800,335.0
1634200524.3671634,13900,337.0
1634201215.4871926,14000,339.0
1634201935.1158297,14100,341.0
1634202627.4127657,14200,343.0
1634203342.8794277,14300,345.0
