Wall time,Step,Value
1633786608.9359276,6000,128.0
1633787301.636228,6100,128.0
1633788011.997469,6200,128.0
1633788701.4592793,6300,128.0
1633789389.1816313,6400,128.0
1633790102.3918583,6500,128.0
1633845624.2796037,6500,128.0
1633846352.533846,6600,128.0
1633847082.1725976,6700,128.0
1633847833.560073,6800,128.0
1633848562.5646539,6900,128.0
1633849292.0739987,7000,128.0
1633850326.1632206,7100,128.0
1633851057.8737056,7200,128.0
1633850326.1632206,7100,128.0
1633851057.8737056,7200,128.0
1633851814.6218932,7300,128.0
1633852551.9413726,7400,128.0
1633853287.1228373,7500,128.0
1633854046.945131,7600,128.0
1633854782.1056058,7700,128.0
1633855516.461194,7800,128.0
1633856858.744212,7900,128.0
1633857585.4533184,8000,128.0
1633858338.962571,8100,128.0
1633859067.1338558,8200,128.0
1633859795.2257376,8300,128.0
1633864890.9239018,8900,128.0
1633865617.338673,9000,128.0
1633874908.0517254,8900,128.0
1633875610.3671856,9000,128.0
1633876318.268948,9100,128.0
1633877044.3306096,9200,128.0
1633877748.0936065,9300,128.0
1633878451.8571806,9400,128.0
1633879178.2058873,9500,128.0
1633879881.762979,9600,128.0
1633880585.0237503,9700,128.0
1633881309.9501085,9800,128.0
1633883219.8814454,10000,128.0
1633883932.4205523,10100,128.0
1633884639.565703,10200,128.0
1633887118.723413,10300,128.0
1633887826.430798,10400,128.0
1633947539.836948,10600,128.0
1633948262.4353626,10700,128.0
1633949008.2699564,10800,128.0
1633949732.4117596,10900,128.0
1633950456.9589465,11000,128.0
1633951209.0419173,11100,128.0
1633951934.4922197,11200,128.0
1633952659.6806026,11300,128.0
1633953410.0030973,11400,128.0
1634023353.2743063,11400,128.0
1634024073.3018808,11500,128.0
1634024815.7737331,11600,128.0
1634025540.1006162,11700,128.0
1634026267.63541,11800,128.0
1634027026.29237,11900,128.0
1634027754.1118586,12000,128.0
1634028485.8798313,12100,128.0
1634029232.9117987,12200,128.0
1634029959.8428483,12300,128.0
1634030698.703437,12400,128.0
1634031458.4794636,12500,128.0
1634032197.9288375,12600,128.0
1634032958.607814,12700,128.0
1634033821.180088,12700,128.0
1634034557.0376499,12800,128.0
1634035293.5571082,12900,128.0
1634194217.032089,13000,128.0
1634194912.0555046,13100,128.0
1634195602.125142,13200,128.0
1634196320.4768243,13300,128.0
1634197010.9693406,13400,128.0
1634197729.1616304,13500,128.0
1634198421.35633,13600,128.0
1634199114.3045838,13700,128.0
1634199831.5795739,13800,128.0
1634200524.367131,13900,128.0
1634201215.4871576,14000,128.0
1634201935.1157928,14100,128.0
1634202627.4127274,14200,128.0
1634203342.879383,14300,128.0
