Gen,Frame,name,area pred,area gt,mean exg pred,mean exg gt,mean exr pred,mean exr gt,mean exgr pred,mean exgr gt
1,1,video0001_frame0001_R128x128.png,625,625,-3.036071777,-3.036071777,14.78167725,14.78167725,-17.81774902,-17.81774902
1,2,video0001_frame0002_R128x128.png,515,515,-3.44329834,-3.44329834,14.2623291,14.2623291,-17.70562744,-17.70562744
1,3,video0001_frame0003_R128x128.png,531,531,-4.777709961,-4.777709961,11.85357666,11.85357666,-16.63128662,-16.63128662
1,4,video0001_frame0004_R128x128.png,373,373,-8.67980957,-8.67980957,20.6975708,20.6975708,-29.37738037,-29.37738037
1,5,video0001_frame0005_R128x128.png,304,304,-1.790771484,-1.790771484,16.44232178,16.44232178,-18.23309326,-18.23309326
1,6,video0001_frame0006_R128x128.png,558,558,-2.464599609,-2.464599609,15.50317383,15.50317383,-17.96777344,-17.96777344
1,7,video0001_frame0007_R128x128.png,372,448,-4.964599609,-0.79107666,17.57275391,14.75549316,-22.53735352,-15.54656982
1,8,video0001_frame0008_R128x128.png,402,361,-5.661743164,-3.370117188,16.8972168,18.31341553,-22.55895996,-21.68353271
1,9,video0001_frame0009_R128x128.png,326,460,-4.611816406,-1.948303223,20.2142334,24.17004395,-24.8260498,-26.11834717
1,10,video0001_frame0010_R128x128.png,356,361,-3.625061035,-3.726623535,15.31286621,16.64178467,-18.93792725,-20.3684082
1,11,video0001_frame0011_R128x128.png,319,290,-5.202697754,-1.78112793,16.17230225,15.93939209,-21.375,-17.72052002
1,12,video0001_frame0012_R128x128.png,327,409,-6.21685791,-3.030761719,19.79919434,17.48022461,-26.01605225,-20.51098633
2,1,video0002_frame0001_R128x128.png,468,468,0.666259766,0.666259766,17.66308594,17.66308594,-16.99682617,-16.99682617
2,2,video0002_frame0002_R128x128.png,680,680,0.958496094,0.958496094,16.45715332,16.45715332,-15.49865723,-15.49865723
2,3,video0002_frame0003_R128x128.png,1043,1043,0.839782715,0.839782715,15.65344238,15.65344238,-14.81365967,-14.81365967
2,4,video0002_frame0004_R128x128.png,662,662,-0.6875,-0.6875,17.01727295,17.01727295,-17.70477295,-17.70477295
2,5,video0002_frame0005_R128x128.png,575,575,-0.202331543,-0.202331543,16.99072266,16.99072266,-17.1930542,-17.1930542
2,6,video0002_frame0006_R128x128.png,1136,1136,4.588378906,4.588378906,19.26873779,19.26873779,-14.68035889,-14.68035889
2,7,video0002_frame0007_R128x128.png,1206,1266,4.084777832,6.569274902,17.37756348,15.07598877,-13.29278564,-8.506713867
2,8,video0002_frame0008_R128x128.png,773,1212,-1.059814453,6.586669922,17.40710449,13.95135498,-18.46691895,-7.364685059
2,9,video0002_frame0009_R128x128.png,729,1005,-0.795654297,4.290344238,19.26116943,20.20544434,-20.05682373,-15.9151001
2,10,video0002_frame0010_R128x128.png,1010,1086,1.000488281,-1.980651855,14.51818848,20.74517822,-13.5177002,-22.72583008
2,11,video0002_frame0011_R128x128.png,974,2456,-0.458496094,14.44573975,17.35778809,17.12011719,-17.81628418,-2.674377441
2,12,video0002_frame0012_R128x128.png,708,1856,-2.152587891,12.4911499,18.73156738,18.4006958,-20.88415527,-5.909545898
3,1,video0003_frame0001_R128x128.png,2948,2948,19.9765625,19.9765625,16.4720459,16.4720459,3.504516602,3.504516602
3,2,video0003_frame0002_R128x128.png,2075,2075,11.72955322,11.72955322,12.67388916,12.67388916,-0.944335938,-0.944335938
3,3,video0003_frame0003_R128x128.png,2497,2497,14.46557617,14.46557617,15.50830078,15.50830078,-1.042724609,-1.042724609
3,4,video0003_frame0004_R128x128.png,2803,2803,17.36346436,17.36346436,13.27203369,13.27203369,4.091430664,4.091430664
3,5,video0003_frame0005_R128x128.png,5328,5328,29.92449951,29.92449951,14.22332764,14.22332764,15.70117188,15.70117188
3,6,video0003_frame0006_R128x128.png,2560,2560,16.59655762,16.59655762,17.13684082,17.13684082,-0.540283203,-0.540283203
3,7,video0003_frame0007_R128x128.png,3796,2721,22.28186035,17.659729,14.69830322,13.45178223,7.583557129,4.207946777
3,8,video0003_frame0008_R128x128.png,3126,2838,16.19342041,17.11206055,17.31866455,13.59869385,-1.125244141,3.513366699
3,9,video0003_frame0009_R128x128.png,2890,6517,14.76800537,39.53460693,15.0947876,10.90771484,-0.326782227,28.62689209
3,10,video0003_frame0010_R128x128.png,2473,7163,11.48156738,39.95080566,16.16491699,13.66485596,-4.683349609,26.28594971
3,11,video0003_frame0011_R128x128.png,3538,8117,19.27069092,48.73571777,15.8961792,10.25494385,3.374511719,38.48077393
3,12,video0003_frame0012_R128x128.png,3401,5468,16.61724854,35.02758789,18.02398682,13.64202881,-1.406738281,21.38555908
4,1,video0004_frame0001_R128x128.png,490,490,-3.293273926,-3.293273926,15.26165771,15.26165771,-18.55493164,-18.55493164
4,2,video0004_frame0002_R128x128.png,431,431,-4.886535645,-4.886535645,13.86932373,13.86932373,-18.75585938,-18.75585938
4,3,video0004_frame0003_R128x128.png,437,437,-9.964904785,-9.964904785,14.95947266,14.95947266,-24.92437744,-24.92437744
4,4,video0004_frame0004_R128x128.png,637,637,-4.777099609,-4.777099609,17.375,17.375,-22.15209961,-22.15209961
4,5,video0004_frame0005_R128x128.png,585,585,-1.991821289,-1.991821289,13.31378174,13.31378174,-15.30560303,-15.30560303
4,6,video0004_frame0006_R128x128.png,295,295,-1.597045898,-1.597045898,14.38195801,14.38195801,-15.97900391,-15.97900391
4,7,video0004_frame0007_R128x128.png,389,364,-4.907775879,-2.569091797,17.38433838,17.33966064,-22.29211426,-19.90875244
4,8,video0004_frame0008_R128x128.png,408,336,-5.22454834,-7.081298828,17.66809082,21.1574707,-22.89263916,-28.23876953
4,9,video0004_frame0009_R128x128.png,406,439,-5.560913086,-6.731384277,17.6071167,17.16802979,-23.16802979,-23.89941406
4,10,video0004_frame0010_R128x128.png,408,344,-3.430114746,-0.769897461,20.54089355,19.02069092,-23.9710083,-19.79058838
4,11,video0004_frame0011_R128x128.png,247,581,-5.845581055,0.621704102,19.12536621,14.92608643,-24.97094727,-14.30438232
4,12,video0004_frame0012_R128x128.png,418,647,-6.292236328,0.935974121,19.92102051,16.16992188,-26.21325684,-15.23394775
5,1,video0005_frame0001_R128x128.png,502,502,-1.244506836,-1.244506836,23.5894165,23.5894165,-24.83392334,-24.83392334
5,2,video0005_frame0002_R128x128.png,434,434,-2.895385742,-2.895385742,14.59246826,14.59246826,-17.487854,-17.487854
5,3,video0005_frame0003_R128x128.png,438,438,0.074829102,0.074829102,17.05474854,17.05474854,-16.97991943,-16.97991943
5,4,video0005_frame0004_R128x128.png,1148,1148,4.464355469,4.464355469,19.38293457,19.38293457,-14.9185791,-14.9185791
5,5,video0005_frame0005_R128x128.png,913,913,4.148864746,4.148864746,19.94873047,19.94873047,-15.79986572,-15.79986572
5,6,video0005_frame0006_R128x128.png,347,347,-3.71875,-3.71875,16.69854736,16.69854736,-20.41729736,-20.41729736
5,7,video0005_frame0007_R128x128.png,1025,1344,2.715759277,5.884643555,18.97003174,19.1350708,-16.25427246,-13.25042725
