Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
19.01.18,00:30:00,14.8,63.9
19.01.18,00:42:00,14.8,64.1
19.01.18,00:54:00,14.7,64.2
19.01.18,01:06:00,14.6,64.2
19.01.18,01:18:00,14.5,64.3
19.01.18,01:30:00,14.5,64.2
19.01.18,01:42:00,14.4,64.3
19.01.18,01:54:00,14.3,64.4
19.01.18,02:06:00,14.3,64.3
19.01.18,02:18:00,14.2,64.3
19.01.18,02:30:00,14.2,64.2
19.01.18,02:42:00,14.1,64.3
19.01.18,02:54:00,14.1,64.6
19.01.18,03:06:00,14,64.7
19.01.18,03:18:00,14,64.6
19.01.18,03:30:00,14.1,63.6
19.01.18,03:42:00,14.3,62.1
19.01.18,03:54:00,14.1,62.3
19.01.18,04:06:00,14,62.2
19.01.18,04:18:00,14.2,61
19.01.18,04:30:00,14,61.1
19.01.18,04:42:00,14.2,60.3
19.01.18,04:54:00,14.1,60.6
19.01.18,05:06:00,14,61.2
19.01.18,05:18:00,14.2,60.5
19.01.18,05:30:00,14,61.2
19.01.18,05:42:00,13.9,61.4
19.01.18,05:54:00,14.1,61
19.01.18,06:06:00,14.1,60.7
19.01.18,06:18:00,14.1,60.2
19.01.18,06:30:00,14,59.8
19.01.18,06:42:00,14.1,59.8
19.01.18,06:54:00,14,60
19.01.18,07:06:00,14.4,59.6
19.01.18,07:18:00,14.2,59.4
19.01.18,07:30:00,14,59.8
19.01.18,07:42:00,14.3,58.8
19.01.18,07:54:00,14,59.3
19.01.18,08:06:00,14.2,58.5
19.01.18,08:18:00,14,58.9
19.01.18,08:30:00,14.2,58.2
19.01.18,08:42:00,14,58.4
19.01.18,08:54:00,14.4,56.9
19.01.18,09:06:00,14.3,57.4
19.01.18,09:18:00,14.9,56.1
19.01.18,09:30:00,15.4,54.5
19.01.18,09:42:00,16,53.3
19.01.18,09:54:00,16.7,51.5
19.01.18,10:06:00,17.3,49.1
19.01.18,10:18:00,17.9,47.7
19.01.18,10:30:00,18.2,47.1
19.01.18,10:42:00,18.2,47.5
19.01.18,10:54:00,18.2,51
19.01.18,11:06:00,18.1,52.9
19.01.18,11:18:00,18.5,52.7
19.01.18,11:30:00,18.2,53.6
19.01.18,11:42:00,18.3,52.1
19.01.18,11:54:00,18.2,53
19.01.18,12:06:00,18.1,53.9
19.01.18,12:18:00,18.5,54
19.01.18,12:30:00,18,56.4
19.01.18,12:42:00,18.4,54.9
19.01.18,12:54:00,18.3,55.9
19.01.18,13:06:00,18.2,55.9
19.01.18,13:18:00,18,57.1
19.01.18,13:30:00,18.5,53.7
19.01.18,13:42:00,18.2,53.2
19.01.18,13:54:00,18.8,51.3
19.01.18,14:06:00,18.9,51.9
