"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0001_frame0001_R128x128.png","25","1.8920288085938","-73","110","13.534545898438","0","25","-11.642517089844","-119","1","1","1"
"video0001_frame0002_R128x128.png","26","-8.9223022460938","-39","108","17.170715332031","0","19","-26.093017578125","-120","1","0","2"
"video0001_frame0003_R128x128.png","41","-1.7759399414062","-43","110","19.408996582031","0","41","-21.184936523438","-126","1","69","3"
"video0001_frame0004_R128x128.png","73","-4.3555297851562","-46","106","17.650634765625","0","73","-22.006164550781","-117","1","391","4"
"video0001_frame0005_R128x128.png","74","0.628662109375","-33","106","17.730590820312","0","74","-17.101928710938","-112","1","729","5"
"video0001_frame0006_R128x128.png","75","10.765258789062","-42","104","16.047790527344","0","75","-5.2825317382812","-132","1","2836","6"
"video0001_frame0007_R128x128.png","70","12.566345214844","-24","112","14.37646484375","0","70","-1.8101196289062","-122","1","4413","7"
"video0001_frame0008_R128x128.png","77","24.111694335938","-30","106","8.7286987304688","0","77","15.382995605469","-111","1","7803","8"
"video0002_frame0001_R128x128.png","80","32.942077636719","-31","99","5.315673828125","0","80","27.626403808594","-119","2","10565","9"
"video0002_frame0002_R128x128.png","94","43.273193359375","-24","89","3.3182373046875","0","94","39.954956054688","-93","2","12582","10"
"video0002_frame0003_R128x128.png","100","43.032897949219","-69","143","8.9969482421875","0","100","34.035949707031","-180","2","11765","11"
"video0002_frame0004_R128x128.png","110","50.865234375","-20","95","3.7949829101562","0","110","47.070251464844","-96","2","11914","12"
"video0002_frame0005_R128x128.png","105","55.448486328125","-18","88","2.6388549804688","0","105","52.809631347656","-95","2","12955","13"
"video0002_frame0006_R128x128.png","104","49.0693359375","-46","99","2.8267211914062","0","104","46.242614746094","-119","2","13597","14"
"video0002_frame0007_R128x128.png","167","63.896423339844","-10","114","4.1860961914062","0","167","59.710327148438","-114","2","14310","15"
"video0002_frame0008_R128x128.png","91","41.732360839844","-57","93","2.1214599609375","0","91","39.610900878906","-122","2","14141","16"
"video0003_frame0001_R128x128.png","19","-0.77935791015625","-82","114","13.085571289062","0","12","-13.864929199219","-129","3","0","1"
"video0003_frame0002_R128x128.png","28","-8.898193359375","-53","113","17.079406738281","0","15","-25.977600097656","-117","3","0","2"
"video0003_frame0003_R128x128.png","38","-1.3736572265625","-25","109","20.580810546875","0","38","-21.954467773438","-119","3","24","3"
"video0003_frame0004_R128x128.png","60","-2.2599487304688","-40","113","19.382995605469","0","60","-21.642944335938","-146","3","308","4"
