SPAD,days,box
33.9,30,1
30.5,30,2
33.4,30,3
31.6,30,4
32.3,30,5
30.5,30,6
33,30,7
30.4,30,8
32.1,30,9
31.3,30,10
33.1,30,11
31.8,30,12
32.6,30,13
35,30,14
34.9,30,15
31.9,30,16
30.9,30,17
34.3,30,18
29.1,30,19
32.7,30,20
30.3,30,21
32.8,30,22
32.1,30,23
33,30,24
31.5,30,25
31,30,26
32.5,30,27
37.8,42,1
37,42,2
41,42,3
40.9,42,4
41.3,42,5
39.5,42,6
39.3,42,7
38.1,42,8
38.1,42,9
36.4,42,10
39.5,42,11
36.2,42,12
40.7,42,13
42.2,42,14
42.7,42,15
36.7,42,16
37.3,42,17
37.9,42,18
32.9,42,19
37.9,42,20
33.7,42,21
35,42,22
35.9,42,23
35.2,42,24
36.8,42,25
34.6,42,26
36.5,42,27
44.9,54,1
39.4,54,2
45.5,54,3
42.6,54,4
44.4,54,5
44.7,54,6
44.7,54,7
43.1,54,8
43.2,54,9
44.7,54,10
45.7,54,11
42.2,54,12
56.1,54,13
59.7,54,14
56.6,54,15
49.8,54,16
46,54,17
53.6,54,18
40.8,54,19
44.1,54,20
41.6,54,21
44.1,54,22
44.5,54,23
43,54,24
56.1,54,25
53.4,54,26
59.2,54,27
43.2,66,1
45.6,66,2
47.9,66,3
45.9,66,4
46.7,66,5
43.6,66,6
47.6,66,7
47.1,66,8
46.2,66,9
44.2,66,10
49.5,66,11
44.6,66,12
48.1,66,13
44.5,66,14
49.3,66,15
40.8,66,16
41,66,17
45.2,66,18
42.2,66,19
39.3,66,20
39.6,66,21
39.6,66,22
42.9,66,23
37.9,66,24
46.8,66,25
45.6,66,26
47.4,66,27
